x,y,localAbbr,localName,enAbbr,enName
5,10,DN,Del Norte,DN,Del Norte
6,10,SK,Siskiyou,SK,Siskiyou
7,10,SH,Shasta,SH,Shasta
8,10,MO,Modoc,MO,Modoc
9,10,LS,Lassen,LS,Lassen
5,11,HU,Humboldt,HU,Humboldt
6,11,TR,Trinity,TR,Trinity
7,11,TE,Tehama,TE,Tehama
8,11,NV,Nevada,NV,Nevada
9,11,PM,Plumas,PM,Plumas
5,12,MC,Mendocino,MC,Mendocino
6,12,GL,Glenn,GL,Glenn
7,12,BU,Butte,BU,Butte
8,12,SR,Sutter,SR,Sutter
9,12,PL,Placer,PL,Placer
5,13,LK,Lake,LK,Lake
6,13,CO,Colusa,CO,Colusa
9,13,AD,Amador,AD,Amador
10,13,SE,Sierra,SE,Sierra
6,14,NA,Napa,NA,Napa
7,14,SL,Solano,SL,Solano
8,14,YU,Yuba,YU,Yuba
9,14,SA,Sacramento,SA,Sacramento
10,14,ED,El Dorado,ED,El Dorado
11,14,AL,Alpine,AL,Alpine
5,15,SN,Sonoma,SN,Sonoma
7,15,SM,San Mateo,SM,San Mateo
8,15,ST,Stanislaus,ST,Stanislaus
9,15,CA,Calaveras,CA,Calaveras
11,15,MN,Mono,MN,Mono
5,16,SF,San Francisco,SF,San Francisco
6,16,YO,Yolo,YO,Yolo
7,16,SJ,San Joaquin,SJ,San Joaquin
9,16,ME,Merced,ME,Merced
10,16,MR,Mariposa,MR,Mariposa
6,17,SZ,Santa Cruz,SZ,Santa Cruz
7,17,SC,Santa Clara,SC,Santa Clara
8,17,AM,Alameda,AM,Alameda
9,17,BN,San Benito,BN,San Benito
10,17,FR,Fresno,FR,Fresno
11,17,MD,Madera,MD,Madera
13,17,IN,Inyo,IN,Inyo
8,18,MT,Monterey,MT,Monterey
10,18,KG,Kings,KG,Kings
11,18,TL,Tulare,TL,Tulare
9,19,LO,San Luis Obispo,LO,San Luis Obispo
11,19,KE,Kern,KE,Kern
14,19,SB,San Bernardino,SB,San Bernardino
10,20,BR,Santa Barbara,BR,Santa Barbara
11,20,VE,Ventura,VE,Ventura
12,20,LA,Los Angeles,LA,Los Angeles
12,21,OR,Orange,OR,Orange
14,21,RV,Riverside,RV,Riverside
14,22,SD,San Diego,SD,San Diego
15,22,IM,Imperial,IM,Imperial
