"province","abbreviation"
"Tulare",TL
"Calaveras",CA
"Merced",ME
"San Luis Obispo",LO
"Sonoma",SN
"Marin",MA
"Humboldt",HU
"Mono",MN
"Del Norte",DN
"Colusa",CO
"Alameda",AM
"El Dorado",ED
"Sutter",SR
"Kings",KG
"Sierra",SE
"Lassen",LS
"Lake",LK
"Tehama",TE
"San Francisco",SF
"Alpine",AL
"Madera",MD
"Sacramento",SA
"Santa Barbara",BR
"Plumas",PM
"Modoc",MO
"Solano",SL
"Ventura",VE
"Santa Cruz",SZ
"Yuba",YU
"Tuolumne",TU
"Napa",NA
"Siskiyou",SK
"Placer",PL
"Glenn",GL
"Trinity",TR
"Inyo",IN
"San Benito",BN
"Monterey",MT
"San Diego",SD
"Mariposa",MR
"Nevada",NV
"Mendocino",MC
"Yolo",YO
"Imperial",IM
"Stanislaus",ST
"Kern",KE
"Contra Costa",CC
"Fresno",FR
"Santa Clara",SC
"San Mateo",SM
"Butte",BU
"San Joaquin",SJ
"Amador",AD
"Shasta",SH
"Riverside",RV
"Los Angeles",LA
"Orange",OR
"San Bernardino",SB
