"enName","enAbbr","localName","localAbbr"
"Tulare","TL","Tulare","TL"
"Calaveras","CA","Calaveras","CA"
"Merced","ME","Merced","ME"
"San Luis Obispo","LO","San Luis Obispo","LO"
"Sonoma","SN","Sonoma","SN"
"Marin","MA","Marin","MA"
"Humboldt","HU","Humboldt","HU"
"Mono","MN","Mono","MN"
"Del Norte","DN","Del Norte","DN"
"Colusa","CO","Colusa","CO"
"Alameda","AM","Alameda","AM"
"El Dorado","ED","El Dorado","ED"
"Sutter","SR","Sutter","SR"
"Kings","KG","Kings","KG"
"Sierra","SE","Sierra","SE"
"Lassen","LS","Lassen","LS"
"Lake","LK","Lake","LK"
"Tehama","TE","Tehama","TE"
"San Francisco","SF","San Francisco","SF"
"Alpine","AL","Alpine","AL"
"Madera","MD","Madera","MD"
"Sacramento","SA","Sacramento","SA"
"Santa Barbara","BR","Santa Barbara","BR"
"Plumas","PM","Plumas","PM"
"Modoc","MO","Modoc","MO"
"Solano","SL","Solano","SL"
"Ventura","VE","Ventura","VE"
"Santa Cruz","SZ","Santa Cruz","SZ"
"Yuba","YU","Yuba","YU"
"Tuolumne","TU","Tuolumne","TU"
"Napa","NA","Napa","NA"
"Siskiyou","SK","Siskiyou","SK"
"Placer","PL","Placer","PL"
"Glenn","GL","Glenn","GL"
"Trinity","TR","Trinity","TR"
"Inyo","IN","Inyo","IN"
"San Benito","BN","San Benito","BN"
"Monterey","MT","Monterey","MT"
"San Diego","SD","San Diego","SD"
"Mariposa","MR","Mariposa","MR"
"Nevada","NV","Nevada","NV"
"Mendocino","MC","Mendocino","MC"
"Yolo","YO","Yolo","YO"
"Imperial","IM","Imperial","IM"
"Stanislaus","ST","Stanislaus","ST"
"Kern","KE","Kern","KE"
"Contra Costa","CC","Contra Costa","CC"
"Fresno","FR","Fresno","FR"
"Santa Clara","SC","Santa Clara","SC"
"San Mateo","SM","San Mateo","SM"
"Butte","BU","Butte","BU"
"San Joaquin","SJ","San Joaquin","SJ"
"Amador","AD","Amador","AD"
"Shasta","SH","Shasta","SH"
"Riverside","RV","Riverside","RV"
"Los Angeles","LA","Los Angeles","LA"
"Orange","OR","Orange","OR"
"San Bernardino","SB","San Bernardino","SB"
