x,y,localAbbr,localName,enAbbr,enName
5,10,DelNort,Del Norte,DelNort,Del Norte
6,10,Siskiyo,Siskiyou,Siskiyo,Siskiyou
7,10,Shasta,Shasta,Shasta,Shasta
8,10,Modoc,Modoc,Modoc,Modoc
9,10,Lassen,Lassen,Lassen,Lassen
5,11,Humbold,Humboldt,Humbold,Humboldt
6,11,Trinity,Trinity,Trinity,Trinity
7,11,Tehama,Tehama,Tehama,Tehama
8,11,Nevada,Nevada,Nevada,Nevada
9,11,Plumas,Plumas,Plumas,Plumas
5,12,Mendoci,Mendocino,Mendoci,Mendocino
6,12,Glenn,Glenn,Glenn,Glenn
7,12,Butte,Butte,Butte,Butte
8,12,Sutter,Sutter,Sutter,Sutter
9,12,Placer,Placer,Placer,Placer
5,13,Lake,Lake,Lake,Lake
6,13,Colusa,Colusa,Colusa,Colusa
9,13,Amador,Amador,Amador,Amador
10,13,Sierra,Sierra,Sierra,Sierra
6,14,Napa,Napa,Napa,Napa
7,14,Solano,Solano,Solano,Solano
8,14,Yuba,Yuba,Yuba,Yuba
9,14,Sacrame,Sacramento,Sacrame,Sacramento
10,14,ElDorad,El Dorado,ElDorad,El Dorado
11,14,Alpine,Alpine,Alpine,Alpine
5,15,Sonoma,Sonoma,Sonoma,Sonoma
7,15,SanMate,San Mateo,SanMate,San Mateo
8,15,Stanisl,Stanislaus,Stanisl,Stanislaus
9,15,Calaver,Calaveras,Calaver,Calaveras
11,15,Mono,Mono,Mono,Mono
5,16,SanFran,San Francisco,SanFran,San Francisco
6,16,Yolo,Yolo,Yolo,Yolo
7,16,SanJoaq,San Joaquin,SanJoaq,San Joaquin
9,16,Merced,Merced,Merced,Merced
10,16,Maripos,Mariposa,Maripos,Mariposa
6,17,SantaCr,Santa Cruz,SantaCr,Santa Cruz
7,17,SantaCl,Santa Clara,SantaCl,Santa Clara
8,17,Alameda,Alameda,Alameda,Alameda
9,17,SanBeni,San Benito,SanBeni,San Benito
10,17,Fresno,Fresno,Fresno,Fresno
11,17,Madera,Madera,Madera,Madera
13,17,Inyo,Inyo,Inyo,Inyo
8,18,Montere,Monterey,Montere,Monterey
10,18,Kings,Kings,Kings,Kings
11,18,Tulare,Tulare,Tulare,Tulare
9,19,SanLuis,San Luis Obispo,SanLuis,San Luis Obispo
11,19,Kern,Kern,Kern,Kern
14,19,SanBern,San Bernardino,SanBern,San Bernardino
10,20,SantaBa,Santa Barbara,SantaBa,Santa Barbara
11,20,Ventura,Ventura,Ventura,Ventura
12,20,LosAnge,Los Angeles,LosAnge,Los Angeles
12,21,Orange,Orange,Orange,Orange
14,21,Riversi,Riverside,Riversi,Riverside
14,22,SanDieg,San Diego,SanDieg,San Diego
15,22,Imperia,Imperial,Imperia,Imperial
