,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,DelNort,Siskiyo,Shasta,Modoc,Lassen,,,,,,
,,,,,Humbold,Trinity,Tehama,Nevada,Plumas,,,,,,
,,,,,Mendoci,Glenn,Butte,Sutter,Placer,,,,,,
,,,,,Lake,Colusa,,,Amador,Sierra,,,,,
,,,,,,Napa,Solano,Yuba,Sacrame,ElDorad,Alpine,,,,
,,,,,Sonoma,,SanMate,Stanisl,Calaver,,Mono,,,,
,,,,,SanFran,Yolo,SanJoaq,,Merced,Maripos,,,,,
,,,,,,SantaCr,SantaCl,Alameda,SanBeni,Fresno,Madera,,Inyo,,
,,,,,,,,Montere,,Kings,Tulare,,,,
,,,,,,,,,SanLuis,,Kern,,,SanBern,
,,,,,,,,,,SantaBa,Ventura,LosAnge,,,
,,,,,,,,,,,,Orange,,Riversi,
,,,,,,,,,,,,,,SanDieg,Imperia
